Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-84.21497	-242.0342	157.8192	1.949884	7.873464	0.271398	0.728602	1.22468
6	-82.86184	-240.2175	157.3556	1.949884	7.873464	0.481126	0.518874	1.585625
12	-78.20007	-236.1288	157.9287	2.236028	7.303283	0.632884	0.367116	0.9636303
18	-76.00608	-233.9348	157.9287	2.236028	7.303283	0.770599	0.229401	0.9636303
24	-79.26838	-236.5705	157.3021	2.236028	9.629463	0.575545	0.424455	1.156353
30	-80.8002	-242.0345	161.2343	0.1820128	0.1908832	0.638564	0.361436	2.762303
36	-77.63528	-239.6106	161.9753	0.6939489	0.2505449	0.59936	0.40064	1.851468
42	-85.03069	-246.8302	161.7995	0.7074147	0.4672556	0.41544	0.58456	1.645606
48	-90.62271	-251.2937	160.671	0.5839911	0.362552	0.558887	0.441113	2.598744
54	-81.63665	-242.3959	160.7592	0.4065636	0.3241495	0.51457	0.48543	2.704248
60	-76.85939	-238.6499	161.7905	0.4808972	0.2737351	0.4148	0.5852	2.0789
66	-71.82147	-233.974	162.1526	0.516659	0.1685409	0.349885	0.650115	2.013148
72	-68.70557	-229.6985	160.9929	0.3919588	0.3218662	0.610474	0.389526	2.572217
78	-76.24999	-237.8707	161.6207	0.0471022	0.2227938	0.863482	0.136518	2.549711
84	-81.71828	-242.9139	161.1956	0.02797136	0.3700182	0.657213	0.342787	2.60874
90	-79.61138	-240.3314	160.72	0.04743796	0.3172961	0.83603	0.16397	2.955495
96	-84.74447	-244.9085	160.1641	0.113586	0.9229792	0.460256	0.539744	2.703982
102	-77.73339	-238.9175	161.1841	0.5591837	0.3693385	0.351139	0.648861	2.282852
108	-66.96302	-228.3768	161.4138	0.4473945	0.5829383	0.557212	0.442788	1.96442
114	-74.7895	-236.3427	161.5532	0.4479732	0.4945818	0.908477	0.0915227	1.963612
120	-68.87242	-230.0125	161.1401	0.3228443	0.5441797	0.84267	0.15733	2.263991
126	-73.20936	-234.5584	161.349	0.6645334	0.2629157	0.5473	0.4527	2.263991
132	-63.60337	-224.7587	161.1553	0.313852	0.4613054	0.654548	0.345452	2.347236
138	-68.30768	-231.1097	162.802	0.9664341	0.3689415	0.726187	0.273813	0.6144792
144	-72.9016	-234.7028	161.8012	0.9664341	0.3798046	0.837924	0.162076	1.574332
150	-69.92153	-230.8298	160.9083	0.9026189	1.110139	0.717283	0.282717	1.574332
156	-75.32094	-236.5103	161.1894	0.6359828	1.110139	0.495217	0.504783	1.563713
162	-79.91295	-240.741	160.8281	1.588946	1.542431	0.500944	0.499056	0.6644916
168	-83.01963	-243.9491	160.9294	1.588946	1.432094	0.613882	0.386118	0.6197057
174	-83.19708	-244.347	161.15	1.458229	1.139196	0.648089	0.351911	0.8601058
